City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
277,Batagay-Alyta,RU,67.8006,130.4114,-32.15,81,100,1.41,overcast clouds
278,Hithadhoo,MV,-0.6,73.0833,82.89,75,78,13.2,broken clouds
279,Soledade,BR,-28.8183,-52.5103,72.61,97,76,9.1,broken clouds
280,Guantanamo,CU,20.1444,-75.2092,82.4,51,20,13.8,few clouds
281,Nandigama,IN,16.7833,80.3,77.0,73,40,3.44,mist
282,Amboise,FR,47.4125,0.9827,51.01,93,90,11.5,overcast clouds
283,Berbera,SO,10.4396,45.0143,75.74,73,29,8.28,scattered clouds
284,Kavaratti,IN,10.5669,72.642,81.41,69,65,7.29,broken clouds
285,Maldonado,UY,-34.6667,-54.9167,79.0,78,90,20.71,overcast clouds
286,Nizhnevartovsk,RU,60.9344,76.5531,-23.8,69,0,13.42,clear sky
287,Vardo,NO,70.3705,31.1107,30.2,86,75,24.16,light snow
288,Meulaboh,ID,4.1363,96.1285,76.37,82,78,4.56,broken clouds
289,Abashiri,JP,44.0213,144.2697,21.99,81,100,8.01,light snow
290,Grand+Gaube,MU,-20.0064,57.6608,80.01,80,0,3.0,clear sky
291,Hirara,JP,24.8,125.2833,65.37,59,75,15.99,broken clouds
292,Lubumbashi,CD,-11.6609,27.4794,67.66,88,100,1.3,overcast clouds
293,Bestobe,KZ,52.4994,73.0975,16.59,92,100,9.98,overcast clouds
294,Huntsville,US,34.7304,-86.5861,46.4,46,90,9.22,overcast clouds
295,Port+Lincoln,AU,-34.7333,135.8667,59.63,81,9,12.73,clear sky
296,Kruisfontein,ZA,-34.0033,24.7314,72.0,69,0,7.0,clear sky
297,Luangwa,ZM,-15.6167,30.4167,76.48,85,93,1.52,overcast clouds
298,Viedma,AR,-40.8135,-62.9967,75.99,33,60,11.21,broken clouds
299,Polson,US,47.6936,-114.1632,32.0,37,89,7.25,overcast clouds
300,Mazamari,PE,-11.3258,-74.5308,74.93,79,97,2.89,light rain
301,Tongchuan,CN,35.0806,109.0897,36.39,63,91,5.08,overcast clouds
302,Preobrazheniye,RU,42.9019,133.9064,1.83,84,1,10.25,clear sky
303,Opunake,NZ,-39.4556,173.8583,48.99,95,0,8.61,clear sky
304,Grenaa,DK,56.4158,10.8783,32.0,93,75,6.91,broken clouds
305,Kasongo,CD,-4.45,26.6667,73.76,91,66,3.4,light rain
306,Isla+Vista,US,34.4133,-119.861,53.01,76,20,3.51,few clouds
307,Adre,TD,13.4667,22.2,75.02,19,0,9.35,clear sky
308,Avera,US,33.194,-82.5271,48.2,40,1,10.36,clear sky
309,Takapau,NZ,-40.0333,176.35,46.0,90,14,2.53,few clouds
310,High+Rock,BS,26.6208,-78.2833,66.2,55,75,13.8,broken clouds
311,Codrington,AU,-38.2667,141.9667,55.89,81,20,4.72,few clouds
312,Prince+Rupert,CA,54.3161,-130.3201,39.2,87,90,6.91,overcast clouds
313,Liling,CN,27.6667,113.5,50.0,81,75,2.24,broken clouds
314,Winnemucca,US,40.973,-117.7357,33.8,69,90,9.22,overcast clouds
315,Tabory,RU,58.5198,64.5495,19.54,97,100,6.71,overcast clouds
316,San+Jose,US,37.3394,-121.895,48.2,76,75,3.76,broken clouds
317,Esso,RU,55.9333,158.7,7.95,88,100,6.17,light snow
318,Guiratinga,BR,-16.3494,-53.7583,90.0,46,22,7.65,few clouds
319,Zhezkazgan,KZ,47.8043,67.7144,18.19,95,100,8.93,overcast clouds
320,Portland,US,45.5234,-122.6762,45.0,81,90,19.57,overcast clouds
321,Tabuk,PH,17.4189,121.4443,63.09,87,80,3.47,light rain
322,San+Juan,AR,-31.5375,-68.5364,73.99,44,73,13.76,broken clouds
323,Souillac,MU,-20.5167,57.5167,78.8,89,75,5.75,broken clouds
324,Tilichiki,RU,60.4667,166.1,-10.55,92,100,20.09,light snow
325,Kasama,ZM,-10.2129,31.1808,67.21,80,90,1.72,overcast clouds
326,Puksoozero,RU,62.5903,40.6066,17.33,97,99,5.79,overcast clouds
327,Beringovskiy,RU,63.05,179.3167,-12.86,89,100,14.94,overcast clouds
328,Scarborough,GB,54.2797,-0.4044,37.0,74,100,5.01,overcast clouds
329,Vavatenina,MG,-17.4667,49.2,74.66,91,98,1.19,light rain
330,Venosa,IT,40.9613,15.8149,57.2,51,0,8.05,clear sky
331,Beloomut,RU,54.9448,39.3394,23.9,96,100,12.41,overcast clouds
332,Udachnyy,RU,66.4167,112.4,-35.99,78,22,8.81,few clouds
333,Acarau,BR,-2.8856,-40.12,87.13,60,74,19.08,broken clouds
334,North+Bend,US,43.4065,-124.2243,45.0,100,90,5.75,overcast clouds
335,Omsukchan,RU,62.5333,155.8,-31.63,80,100,7.0,overcast clouds
336,Provideniya,RU,64.3833,-173.3,-11.69,83,61,6.85,broken clouds
337,Los+Llanos+De+Aridane,ES,28.6585,-17.9182,68.0,68,75,14.97,broken clouds
338,Belyy+Yar,RU,53.6039,91.3903,-14.8,70,0,8.95,clear sky
339,Saint+Anthony,US,45.0205,-93.218,30.2,64,90,8.05,light snow
340,Krasnoselkup,RU,65.7,82.4667,-33.3,78,36,8.03,scattered clouds
